Initial condition - time 0.0 - no actions  
control 102 StateAction StateAction [11, 20] [9, 23] 
control 102 StateAction StateAction [6, 5] [3, 6] 
control 102 StateAction StateAction [4, 5] [3, 7] 
control 102 StateAction StateAction [4, 19] [0, 18] 
control 102 StateAction StateAction [4, 5] [2, 5] 
control 102 StateAction StateAction [6, 5] [8, 4] 
control 102 StateAction StateAction [6, 5] [7, 6] 
control 102 StateAction StateAction [6, 5] [6, 10] 
control 102 StateAction StateAction [4, 5] [5, 9] 
control 102 StateAction StateAction [6, 5] [5, 7] 
control 102 StateAction StateAction [5, 19] [5, 23] 
fire 102 StateAction StateAction [4, 5] [4, 6] 
fire 102 StateAction StateAction [6, 5] [6, 6] 
control 102 StateAction StateAction [4, 6] [5, 4] 
control 102 StateAction StateAction [6, 5] [6, 4] 
control 102 StateAction StateAction [4, 6] [1, 6] 
control 102 StateAction StateAction [6, 5] [7, 7] 
control 102 StateAction StateAction [6, 6] [7, 3] 
control 102 StateAction StateAction [6, 6] [7, 10] 
control 102 StateAction StateAction [5, 20] [3, 22] 
control 102 StateAction StateAction [6, 5] [8, 3] 
control 102 StateAction StateAction [6, 5] [9, 3] 
control 102 StateAction StateAction [11, 20] [12, 22] 
control 102 StateAction StateAction [11, 21] [8, 22] 
control 102 StateAction StateAction [11, 20] [11, 23] 
control 102 StateAction StateAction [6, 6] [5, 10] 
control 102 StateAction StateAction [6, 6] [4, 9] 
control 102 StateAction StateAction [4, 6] [1, 4] 
control 102 StateAction StateAction [11, 20] [12, 21] 
fireL 102 StateAction StateAction [6, 19] [6, 18] 
control 102 StateAction StateAction [4, 6] [3, 3] 
control 102 StateAction StateAction [6, 5] [8, 6] 
control 102 StateAction StateAction [4, 6] [4, 8] 
control 102 StateAction StateAction [11, 20] [11, 19] 
control 102 StateAction StateAction [11, 20] [10, 23] 
control 102 StateAction StateAction [11, 20] [10, 18] 
control 102 StateAction StateAction [6, 6] [10, 5] 
control 102 StateAction StateAction [4, 5] [3, 9] 
control 102 StateAction StateAction [6, 5] [3, 4] 
control 102 StateAction StateAction [11, 20] [12, 20] 
control 102 StateAction StateAction [4, 6] [8, 7] 
control 102 StateAction StateAction [6, 5] [7, 8] 
control 102 StateAction StateAction [4, 5] [5, 1] 
control 102 StateAction StateAction [6, 6] [8, 9] 
control 102 StateAction StateAction [5, 19] [0, 19] 
control 102 StateAction StateAction [6, 6] [11, 6] 
control 102 StateAction StateAction [6, 6] [3, 8] 
control 102 StateAction StateAction [6, 18] [6, 13] 
control 102 StateAction StateAction [4, 5] [3, 2] 
control 102 StateAction StateAction [6, 5] [8, 2] 
control 102 StateAction StateAction [4, 5] [6, 7] 
control 102 StateAction StateAction [5, 20] [4, 24] 
control 102 StateAction StateAction [11, 20] [16, 20] 
control 102 StateAction StateAction [6, 6] [6, 2] 
control 102 StateAction StateAction [4, 5] [9, 5] 
control 102 StateAction StateAction [5, 20] [3, 23] 
fireL 102 StateAction StateAction [11, 21] [11, 22] 
control 102 StateAction StateAction [4, 5] [6, 3] 
control 102 StateAction StateAction [6, 5] [9, 4] 
control 102 StateAction StateAction [6, 6] [4, 7] 
control 102 StateAction StateAction [6, 19] [8, 16] 
fireL 102 StateAction StateAction [11, 20] [12, 20] 
control 102 StateAction StateAction [12, 20] [13, 17] 
control 102 StateAction StateAction [4, 6] [4, 1] 
control 102 StateAction StateAction [6, 5] [7, 9] 
control 102 StateAction StateAction [6, 18] [9, 16] 
control 102 StateAction StateAction [4, 5] [2, 2] 
control 102 StateAction StateAction [4, 5] [1, 3] 
control 102 StateAction StateAction [4, 6] [4, 11] 
control 102 StateAction StateAction [4, 6] [1, 8] 
control 102 StateAction StateAction [11, 21] [13, 24] 
fireL 102 StateAction StateAction [6, 5] [6, 4] 
control 102 StateAction StateAction [6, 6] [7, 2] 
fireL 102 StateAction StateAction [5, 20] [4, 20] 
control 102 StateAction StateAction [11, 22] [15, 21] 
control 102 StateAction StateAction [4, 20] [3, 24] 
control 102 StateAction StateAction [6, 6] [6, 1] 
control 102 StateAction StateAction [6, 6] [8, 8] 
control 102 StateAction StateAction [11, 21] [14, 23] 
control 102 StateAction StateAction [11, 21] [15, 22] 
control 102 StateAction StateAction [4, 5] [3, 1] 
control 102 StateAction StateAction [12, 20] [12, 24] 
fireL 102 StateAction StateAction [11, 22] [11, 23] 
control 102 StateAction StateAction [4, 6] [2, 4] 
fireL 102 StateAction StateAction [12, 20] [13, 20] 
control 102 StateAction StateAction [6, 6] [6, 11] 
fireL 102 StateAction StateAction [4, 20] [4, 21] 
control 102 StateAction StateAction [4, 6] [0, 6] 
fireL 102 StateAction StateAction [6, 20] [6, 21] 
fireL 102 StateAction StateAction [4, 19] [3, 19] 
control 102 StateAction StateAction [11, 22] [8, 24] 
fireL 102 StateAction StateAction [6, 5] [6, 4] 
control 102 StateAction StateAction [6, 18] [7, 14] 
control 102 StateAction StateAction [3, 19] [1, 16] 
control 102 StateAction StateAction [11, 23] [15, 23] 
control 102 StateAction StateAction [4, 5] [8, 5] 
fireL 102 StateAction StateAction [4, 6] [3, 6] 
control 102 StateAction StateAction [3, 19] [0, 21] 
fireL 102 StateAction StateAction [4, 5] [3, 5] 
control 102 StateAction StateAction [11, 21] [16, 21] 
control 102 StateAction StateAction [4, 20] [2, 23] 
control 102 StateAction StateAction [4, 21] [1, 22] 
control 102 StateAction StateAction [3, 5] [3, 0] 
control 102 StateAction StateAction [12, 20] [14, 17] 
control 102 StateAction StateAction [3, 5] [5, 6] 
fireL 102 StateAction StateAction [11, 20] [10, 20] 
control 102 StateAction StateAction [11, 20] [13, 19] 
control 102 StateAction StateAction [3, 19] [2, 16] 
fireL 102 StateAction StateAction [11, 20] [11, 19] 
control 102 StateAction StateAction [12, 20] [15, 18] 
control 102 StateAction StateAction [10, 20] [12, 18] 
control 102 StateAction StateAction [6, 6] [10, 6] 
control 102 StateAction StateAction [3, 19] [2, 15] 
fireL 102 StateAction StateAction [6, 4] [7, 4] 
control 102 StateAction StateAction [3, 5] [2, 6] 
control 102 StateAction StateAction [3, 5] [1, 2] 
control 102 StateAction StateAction [6, 4] [11, 4] 
control 102 StateAction StateAction [7, 4] [6, 0] 
fireL 102 StateAction StateAction [11, 19] [10, 19] 
control 102 StateAction StateAction [6, 5] [6, 9] 
control 102 StateAction StateAction [6, 6] [9, 7] 
fireL 102 StateAction StateAction [10, 20] [10, 21] 
control 102 StateAction StateAction [6, 4] [9, 6] 
control 102 StateAction StateAction [11, 19] [12, 23] 
control 102 StateAction StateAction [6, 5] [11, 5] 
control 102 StateAction StateAction [4, 20] [1, 18] 
control 102 StateAction StateAction [3, 5] [0, 3] 
fireL 102 StateAction StateAction [6, 20] [7, 20] 
control 102 StateAction StateAction [4, 5] [0, 4] 
control 102 StateAction StateAction [11, 19] [11, 15] 
control 102 StateAction StateAction [6, 4] [10, 4] 
control 102 StateAction StateAction [4, 21] [2, 24] 
control 102 StateAction StateAction [4, 19] [4, 14] 
control 102 StateAction StateAction [6, 6] [10, 7] 
control 102 StateAction StateAction [3, 5] [3, 10] 
control 102 StateAction StateAction [11, 23] [16, 23] 
fireL 102 StateAction StateAction [6, 5] [5, 5] 
control 102 StateAction StateAction [4, 19] [3, 15] 
fireL 102 StateAction StateAction [6, 18] [6, 17] 
control 102 StateAction StateAction [6, 4] [7, 0] 
control 102 StateAction StateAction [3, 5] [1, 5] 
fireL 102 StateAction StateAction [10, 20] [9, 20] 
control 102 StateAction StateAction [11, 23] [15, 24] 
control 102 StateAction StateAction [6, 17] [1, 17] 
fireL 102 StateAction StateAction [10, 20] [9, 20] 
fireL 102 StateAction StateAction [4, 21] [4, 22] 
fireL 102 StateAction StateAction [6, 6] [5, 6] 
control 102 StateAction StateAction [3, 19] [0, 17] 
control 102 StateAction StateAction [6, 4] [9, 2] 
control 102 StateAction StateAction [12, 20] [13, 16] 
control 102 StateAction StateAction [6, 4] [5, 0] 
control 102 StateAction StateAction [7, 4] [10, 3] 
control 102 StateAction StateAction [9, 20] [9, 15] 
fireL 102 StateAction StateAction [3, 19] [2, 19] 
fireL 102 StateAction StateAction [7, 20] [8, 20] 
control 102 StateAction StateAction [2, 19] [1, 23] 
fireL 102 StateAction StateAction [4, 21] [5, 21] 
fireL 102 StateAction StateAction [6, 17] [5, 17] 
fireL 102 StateAction StateAction [7, 4] [8, 4] 
control 102 StateAction StateAction [4, 22] [1, 24] 
fireL 102 StateAction StateAction [4, 5] [4, 4] 
fireL 102 StateAction StateAction [5, 21] [5, 22] 
control 102 StateAction StateAction [11, 19] [16, 19] 
control 102 StateAction StateAction [10, 20] [10, 15] 
control 102 StateAction StateAction [7, 4] [9, 1] 
fireL 102 StateAction StateAction [11, 22] [10, 22] 
fireL 102 StateAction StateAction [3, 19] [3, 18] 
control 102 StateAction StateAction [2, 19] [0, 22] 
control 102 StateAction StateAction [6, 20] [7, 24] 
fireL 102 StateAction StateAction [7, 4] [8, 4] 
fireL 102 StateAction StateAction [5, 22] [6, 22] 
control 102 StateAction StateAction [6, 17] [8, 15] 
control 102 StateAction StateAction [7, 4] [12, 4] 
control 102 StateAction StateAction [7, 4] [8, 1] 
fireL 102 StateAction StateAction [6, 17] [6, 16] 
control 102 StateAction StateAction [3, 5] [2, 1] 
fireL 102 StateAction StateAction [11, 21] [12, 21] 
fireL 102 StateAction StateAction [5, 21] [6, 21] 
control 102 StateAction StateAction [3, 5] [2, 9] 
control 102 StateAction StateAction [2, 19] [2, 14] 
control 102 StateAction StateAction [6, 17] [5, 13] 
fireL 102 StateAction StateAction [4, 21] [3, 21] 
fireL 102 StateAction StateAction [4, 22] [3, 22] 
fireL 102 StateAction StateAction [4, 19] [4, 18] 
control 102 StateAction StateAction [12, 21] [17, 21] 
control 102 StateAction StateAction [3, 19] [3, 14] 
fireL 102 StateAction StateAction [6, 6] [6, 7] 
fireL 102 StateAction StateAction [7, 4] [7, 5] 
fireL 102 StateAction StateAction [6, 18] [7, 18] 
control 102 StateAction StateAction [3, 21] [0, 23] 
control 102 StateAction StateAction [11, 19] [11, 14] 
fireL 102 StateAction StateAction [3, 21] [3, 20] 
fireL 102 StateAction StateAction [12, 20] [12, 19] 
fireL 102 StateAction StateAction [10, 20] [10, 21] 
control 102 StateAction StateAction [2, 19] [1, 15] 
control 102 StateAction StateAction [12, 19] [12, 14] 
fireL 102 StateAction StateAction [7, 20] [7, 19] 
control 102 StateAction StateAction [12, 19] [17, 19] 
control 102 StateAction StateAction [7, 18] [8, 14] 
control 102 StateAction StateAction [6, 7] [6, 12] 
control 102 StateAction StateAction [6, 7] [8, 10] 
control 102 StateAction StateAction [11, 22] [16, 22] 
control 102 StateAction StateAction [11, 23] [14, 24] 
fireL 102 StateAction StateAction [3, 21] [2, 21] 
fireL 102 StateAction StateAction [4, 4] [3, 4] 
fireL 102 StateAction StateAction [3, 20] [2, 20] 
control 102 StateAction StateAction [12, 19] [16, 18] 
fireL 102 StateAction StateAction [2, 19] [2, 18] 
control 102 StateAction StateAction [11, 19] [12, 15] 
fireL 102 StateAction StateAction [9, 20] [9, 21] 
control 102 StateAction StateAction [4, 6] [0, 7] 
fireL 102 StateAction StateAction [6, 4] [6, 3] 
control 102 StateAction StateAction [2, 18] [0, 15] 
fireL 102 StateAction StateAction [10, 22] [9, 22] 
fireL 102 StateAction StateAction [11, 23] [10, 23] 
fireL 102 StateAction StateAction [9, 21] [8, 21] 
fireL 102 StateAction StateAction [2, 19] [1, 19] 
fireL 102 StateAction StateAction [7, 5] [8, 5] 
fireL 102 StateAction StateAction [4, 6] [4, 7] 
control 102 StateAction StateAction [4, 7] [4, 12] 
fireL 102 StateAction StateAction [4, 7] [4, 8] 
fireL 102 StateAction StateAction [10, 20] [10, 19] 
fireL 102 StateAction StateAction [1, 19] [1, 18] 
control 102 StateAction StateAction [6, 7] [9, 8] 
control 102 StateAction StateAction [4, 8] [4, 13] 
fireL 102 StateAction StateAction [3, 22] [3, 23] 
