Initial condition - time 0.0 - no actions  
fireBL 102 StateAction StateAction [18, 10] [18, 9] 
fireBT 102 StateAction StateAction [11, 11] [11, 10] 
fireBT 102 StateAction StateAction [18, 13] [18, 14] 
fireBT 102 StateAction StateAction [19, 13] [19, 14] 
controlT 102 StateAction StateAction [12, 16] [14, 15] 
controlT 102 StateAction StateAction [8, 16] [9, 14] 
actControl 102 StateAction StateAction [8, 15] [9, 16] 
controlT 102 StateAction StateAction [11, 16] [11, 15] 
fireBH 102 StateAction StateAction [1, 11] [2, 11] 
fireBH 102 StateAction StateAction [3, 13] [4, 13] 
controlT 102 StateAction StateAction [8, 16] [7, 16] 
controlT 102 StateAction StateAction [9, 16] [7, 15] 
fireBT 102 StateAction StateAction [8, 11] [8, 10] 
controlT 102 StateAction StateAction [19, 8] [20, 7] 
controlT 102 StateAction StateAction [8, 16] [8, 18] 
controlT 102 StateAction StateAction [12, 16] [12, 19] 
fireBT 102 StateAction StateAction [20, 13] [20, 14] 
fireBL 102 StateAction StateAction [8, 15] [7, 15] 
fireBT 102 StateAction StateAction [16, 13] [16, 14] 
controlT 102 StateAction StateAction [8, 16] [9, 18] 
fireBT 102 StateAction StateAction [10, 10] [11, 10] 
fireBL 102 StateAction StateAction [19, 10] [19, 9] 
controlT 102 StateAction StateAction [8, 16] [7, 14] 
fireBL 102 StateAction StateAction [18, 10] [18, 9] 
controlT 102 StateAction StateAction [8, 16] [8, 17] 
controlT 102 StateAction StateAction [11, 16] [9, 17] 
actControl 102 StateAction StateAction [19, 14] [19, 16] 
fireD 102 StateAction StateAction [24, 12] [24, 13] 
controlT 102 StateAction StateAction [9, 16] [12, 16] 
fireBT 102 StateAction StateAction [3, 11] [3, 10] 
controlT 102 StateAction StateAction [19, 16] [18, 17] 
fireBT 102 StateAction StateAction [21, 13] [21, 14] 
controlT 102 StateAction StateAction [19, 16] [21, 17] 
fireBT 102 StateAction StateAction [19, 14] [19, 15] 
fireBH 102 StateAction StateAction [12, 13] [13, 13] 
controlT 102 StateAction StateAction [19, 16] [17, 16] 
controlT 102 StateAction StateAction [19, 8] [20, 9] 
fireBL 102 StateAction StateAction [11, 13] [11, 14] 
controlT 102 StateAction StateAction [12, 16] [13, 14] 
controlT 102 StateAction StateAction [19, 16] [20, 17] 
actControl 102 StateAction StateAction [16, 14] [16, 16] 
controlT 102 StateAction StateAction [19, 16] [16, 16] 
fireBH 102 StateAction StateAction [16, 11] [15, 11] 
controlT 102 StateAction StateAction [19, 16] [22, 16] 
fireBL 102 StateAction StateAction [12, 15] [11, 15] 
fireBT 102 StateAction StateAction [11, 11] [11, 10] 
controlT 102 StateAction StateAction [9, 16] [9, 19] 
fireBT 102 StateAction StateAction [20, 14] [21, 14] 
controlT 102 StateAction StateAction [16, 16] [17, 15] 
controlT 102 StateAction StateAction [19, 16] [17, 17] 
actControl 102 StateAction StateAction [12, 15] [13, 16] 
controlT 102 StateAction StateAction [13, 16] [13, 17] 
actControl 102 StateAction StateAction [11, 10] [11, 8] 
controlT 102 StateAction StateAction [11, 8] [10, 9] 
controlT 102 StateAction StateAction [16, 16] [16, 18] 
fireBL 102 StateAction StateAction [18, 10] [17, 10] 
fireBT 102 StateAction StateAction [23, 11] [23, 10] 
controlT 102 StateAction StateAction [11, 8] [11, 6] 
fireBT 102 StateAction StateAction [3, 10] [4, 10] 
controlT 102 StateAction StateAction [13, 16] [14, 14] 
controlT 102 StateAction StateAction [8, 16] [6, 16] 
fireBL 102 StateAction StateAction [12, 15] [11, 15] 
controlT 102 StateAction StateAction [11, 8] [12, 9] 
fireBT 102 StateAction StateAction [10, 10] [9, 10] 
fireBL 102 StateAction StateAction [12, 15] [13, 15] 
fireBT 102 StateAction StateAction [11, 10] [12, 10] 
controlT 102 StateAction StateAction [19, 16] [18, 14] 
controlT 102 StateAction StateAction [11, 8] [14, 8] 
controlT 102 StateAction StateAction [11, 8] [12, 10] 
controlT 102 StateAction StateAction [18, 8] [16, 7] 
controlT 102 StateAction StateAction [11, 8] [11, 9] 
controlT 102 StateAction StateAction [11, 8] [10, 7] 
controlT 102 StateAction StateAction [16, 16] [15, 17] 
controlT 102 StateAction StateAction [19, 16] [20, 18] 
controlT 102 StateAction StateAction [8, 16] [8, 19] 
controlT 102 StateAction StateAction [16, 16] [17, 14] 
controlT 102 StateAction StateAction [19, 16] [19, 17] 
controlT 102 StateAction StateAction [19, 16] [18, 16] 
controlT 102 StateAction StateAction [16, 16] [16, 19] 
controlT 102 StateAction StateAction [11, 8] [12, 8] 
controlT 102 StateAction StateAction [16, 16] [15, 15] 
controlT 102 StateAction StateAction [13, 16] [13, 19] 
controlT 102 StateAction StateAction [16, 16] [19, 16] 
fireBT 102 StateAction StateAction [22, 10] [23, 10] 
fireBL 102 StateAction StateAction [17, 11] [17, 10] 
controlT 102 StateAction StateAction [8, 16] [5, 16] 
controlT 102 StateAction StateAction [16, 16] [18, 15] 
controlT 102 StateAction StateAction [11, 8] [12, 7] 
controlT 102 StateAction StateAction [11, 8] [11, 7] 
fireBT 102 StateAction StateAction [16, 11] [16, 10] 
fireBT 102 StateAction StateAction [5, 11] [5, 10] 
controlT 102 StateAction StateAction [8, 16] [6, 15] 
actControl 102 StateAction StateAction [19, 15] [18, 16] 
controlT 102 StateAction StateAction [11, 8] [8, 8] 
fireBT 102 StateAction StateAction [4, 13] [4, 14] 
controlT 102 StateAction StateAction [13, 16] [14, 17] 
controlT 102 StateAction StateAction [13, 16] [14, 18] 
controlT 102 StateAction StateAction [16, 16] [15, 14] 
controlT 102 StateAction StateAction [19, 16] [19, 18] 
fireBPA 102 StateAction StateAction [12, 15] [12, 16] 
fireBH 102 StateAction StateAction [22, 13] [23, 13] 
controlT 102 StateAction StateAction [19, 16] [21, 15] 
fireBT 102 StateAction StateAction [14, 11] [14, 10] 
fireBL 102 StateAction StateAction [8, 14] [9, 14] 
fireBL 102 StateAction StateAction [19, 10] [19, 9] 
fireBL 102 StateAction StateAction [18, 10] [17, 10] 
controlT 102 StateAction StateAction [11, 8] [13, 8] 
fireBT 102 StateAction StateAction [16, 14] [16, 15] 
fireBL 102 StateAction StateAction [11, 13] [11, 14] 
fireBT 102 StateAction StateAction [5, 10] [5, 9] 
actControl 102 StateAction StateAction [10, 10] [10, 8] 
controlT 102 StateAction StateAction [11, 8] [9, 8] 
fireBL 102 StateAction StateAction [13, 13] [13, 14] 
fireBL 102 StateAction StateAction [19, 14] [18, 14] 
controlT 102 StateAction StateAction [18, 16] [16, 17] 
controlT 102 StateAction StateAction [10, 8] [8, 9] 
fireBT 102 StateAction StateAction [5, 9] [5, 8] 
fireBL 102 StateAction StateAction [14, 13] [14, 14] 
fireBPA 102 StateAction StateAction [19, 15] [19, 16] 
controlT 102 StateAction StateAction [18, 16] [18, 19] 
fireBL 102 StateAction StateAction [12, 11] [12, 10] 
controlT 102 StateAction StateAction [19, 16] [18, 18] 
fireBT 102 StateAction StateAction [4, 10] [4, 9] 
controlT 102 StateAction StateAction [10, 8] [7, 8] 
controlT 102 StateAction StateAction [16, 16] [17, 18] 
fireBT 102 StateAction StateAction [1, 11] [1, 10] 
controlT 102 StateAction StateAction [11, 16] [11, 19] 
controlT 102 StateAction StateAction [19, 16] [20, 15] 
fireBL 102 StateAction StateAction [10, 10] [10, 9] 
fireBL 102 StateAction StateAction [17, 11] [17, 10] 
controlT 102 StateAction StateAction [10, 8] [10, 5] 
fireBT 102 StateAction StateAction [1, 10] [2, 10] 
controlT 102 StateAction StateAction [11, 8] [10, 6] 
fireBL 102 StateAction StateAction [13, 13] [13, 14] 
controlT 102 StateAction StateAction [11, 8] [13, 7] 
fireBH 102 StateAction StateAction [4, 13] [5, 13] 
fireBPA 102 StateAction StateAction [19, 15] [19, 16] 
controlT 102 StateAction StateAction [10, 8] [9, 6] 
fireBL 102 StateAction StateAction [12, 14] [11, 14] 
fireBT 102 StateAction StateAction [2, 13] [2, 14] 
actControl 102 StateAction StateAction [14, 10] [14, 8] 
fireBL 102 StateAction StateAction [15, 13] [15, 14] 
controlT 102 StateAction StateAction [14, 8] [15, 9] 
controlT 102 StateAction StateAction [19, 16] [21, 16] 
actControl 102 StateAction StateAction [16, 15] [15, 16] 
controlT 102 StateAction StateAction [16, 16] [15, 18] 
fireBT 102 StateAction StateAction [22, 10] [22, 9] 
fireBL 102 StateAction StateAction [11, 10] [11, 9] 
controlT 102 StateAction StateAction [10, 8] [11, 8] 
fireBL 102 StateAction StateAction [11, 13] [11, 14] 
actControl 102 StateAction StateAction [5, 8] [7, 8] 
actControl 102 StateAction StateAction [8, 10] [8, 8] 
fireBL 102 StateAction StateAction [8, 15] [8, 16] 
controlT 102 StateAction StateAction [19, 16] [20, 16] 
fireBL 102 StateAction StateAction [8, 15] [7, 15] 
actControl 102 StateAction StateAction [9, 10] [9, 8] 
fireBL 102 StateAction StateAction [17, 11] [17, 10] 
fireBL 102 StateAction StateAction [12, 11] [12, 10] 
controlT 102 StateAction StateAction [8, 8] [7, 9] 
fireBPA 102 StateAction StateAction [16, 15] [16, 16] 
controlT 102 StateAction StateAction [7, 8] [9, 9] 
controlT 102 StateAction StateAction [8, 8] [7, 7] 
controlT 102 StateAction StateAction [15, 16] [15, 19] 
controlT 102 StateAction StateAction [11, 8] [11, 5] 
controlT 102 StateAction StateAction [7, 8] [6, 10] 
controlT 102 StateAction StateAction [7, 8] [8, 7] 
controlT 102 StateAction StateAction [7, 8] [6, 9] 
controlT 102 StateAction StateAction [10, 8] [9, 7] 
fireBT 102 StateAction StateAction [2, 14] [2, 15] 
fireBT 102 StateAction StateAction [0, 11] [0, 10] 
controlT 102 StateAction StateAction [14, 8] [13, 10] 
fireBL 102 StateAction StateAction [5, 9] [6, 9] 
controlT 102 StateAction StateAction [11, 8] [10, 8] 
controlT 102 StateAction StateAction [7, 8] [7, 6] 
controlT 102 StateAction StateAction [9, 8] [6, 8] 
fireBT 102 StateAction StateAction [21, 14] [22, 14] 
controlT 102 StateAction StateAction [8, 8] [6, 7] 
controlT 102 StateAction StateAction [11, 8] [12, 6] 
fireBL 102 StateAction StateAction [16, 15] [17, 15] 
fireBL 102 StateAction StateAction [8, 14] [7, 14] 
fireBH 102 StateAction StateAction [7, 13] [6, 13] 
controlT 102 StateAction StateAction [8, 8] [7, 10] 
controlT 102 StateAction StateAction [7, 8] [8, 6] 
actControl 102 StateAction StateAction [16, 15] [17, 16] 
controlT 102 StateAction StateAction [11, 8] [13, 9] 
fireBL 102 StateAction StateAction [8, 15] [8, 16] 
fireBPA 102 StateAction StateAction [16, 15] [16, 16] 
controlT 102 StateAction StateAction [17, 16] [17, 19] 
controlT 102 StateAction StateAction [8, 8] [8, 5] 
controlT 102 StateAction StateAction [14, 8] [14, 5] 
controlT 102 StateAction StateAction [14, 8] [14, 9] 
controlT 102 StateAction StateAction [14, 8] [13, 6] 
controlT 102 StateAction StateAction [14, 8] [15, 7] 
fireBL 102 StateAction StateAction [8, 10] [7, 10] 
fireBL 102 StateAction StateAction [19, 14] [18, 14] 
fireBL 102 StateAction StateAction [22, 9] [22, 8] 
fireBT 102 StateAction StateAction [2, 15] [3, 15] 
fireBT 102 StateAction StateAction [23, 13] [23, 14] 
fireBT 102 StateAction StateAction [4, 13] [4, 14] 
fireBL 102 StateAction StateAction [14, 13] [14, 14] 
fireBL 102 StateAction StateAction [14, 13] [14, 14] 
fireBH 102 StateAction StateAction [9, 13] [10, 13] 
fireBL 102 StateAction StateAction [8, 15] [9, 15] 
fireBL 102 StateAction StateAction [8, 15] [9, 15] 
controlT 102 StateAction StateAction [14, 8] [15, 10] 
fireBPA 102 StateAction StateAction [19, 15] [19, 16] 
fireBL 102 StateAction StateAction [16, 15] [15, 15] 
fireBL 102 StateAction StateAction [20, 10] [20, 9] 
controlT 102 StateAction StateAction [14, 8] [14, 6] 
fireBL 102 StateAction StateAction [9, 13] [9, 14] 
fireBL 102 StateAction StateAction [8, 15] [9, 15] 
fireBPA 102 StateAction StateAction [8, 15] [8, 16] 
